age,gender,education,"Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset",Open to new experiences,"Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative",das1,das2,das3,das4,das5,das6,das7,das8,das9,das10,das11,das12,das13,das14,das15,das16,das17,das18,das19,das20,das21,das22,das23,das24,das25,das26,das27,das28,das29,das30,das31,das32,das33,das34,das35,repetition-1,repetition-2,repetition-3,main-argument-context-positive-framing-topic1,main-argument-context-positive-framing-topic2,main-argument-context-positive-framing-topic3,social-proof-1,social-proof-2,social-proof-3,flattery-1,flattery-2,flattery-3,rheto-question-1,rheto-question-2,rheto-question-3,antanagoge-1,antanagoge-2,antanagogue-3,logic-1,logic-2,logic-3,authority-1,authority-2,authority-3,pathos-1,pathos-2,pathos-3,anaphora-1,anaphora-2,anaphora-3
26- 35,Man,High school degree or equivalent (e.g. GED),Disagree a Little,Agree a Little,Agree Strongly,Agree Strongly,Agree Moderately,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Strongly,Neutral,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Slightly,Agree Strongly,Agree Strongly,Neutral,Neutral,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,7,9,9,10,10,10,10,10,10,7,10,10,10,8,9,9,10,9,10,5,9,8,8,9,7,8,8,6,7,7
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Agree a Little,Neither Agree nor Disagree,Agree a Little,Agree a Little,Agree Moderately,Agree a Little,Agree Moderately,Disagree a Little,Agree a Little,Disagree a Little,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Neutral,Neutral,Neutral,Disagree Slightly,Neutral,Disagree Very Much,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Neutral,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Neutral,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,5,7,5,3,7,6,8,7,5,4,4,3,4,5,8,3,3,3,4,7,4,4,4,3,4,6,6,4,6,7
26- 35,Man,"Some college, no degree",Agree a Little,Agree Moderately,Agree Strongly,Disagree Moderately,Agree Strongly,Agree a Little,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Moderately,Agree Strongly,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Agree Strongly,Agree Slightly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,10,10,10,10,10,10,5,10,10,8,9,10,10,10,10,9,10,10,10,10,10,8,10,10,10,10,10,10,10,10
26- 35,Non-binary or Gender diverse,"Associate degree (e.g. AA, AS)",Disagree Moderately,Disagree Strongly,Agree Moderately,Agree a Little,Agree Strongly,Agree a Little,Agree Moderately,Agree a Little,Agree Moderately,Disagree Strongly,Agree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Neutral,Neutral,Disagree Very Much,6,5,3,7,10,8,5,3,3,5,5,5,3,2,2,6,5,5,5,8,4,7,9,9,5,6,6,4,7,6
Under 26,Man,High school degree or equivalent (e.g. GED),Agree Moderately,Neither Agree nor Disagree,Agree Strongly,Disagree Moderately,Agree Strongly,Disagree a Little,Agree Strongly,Disagree Moderately,Agree Moderately,Disagree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Neutral,Agree Strongly,Agree Slightly,Agree Strongly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,2,2,1,6,8,8,2,7,6,8,9,8,8,10,4,4,7,6,8,10,7,10,7,10,7,9,5,5,9,8
Under 26,Woman,High school degree or equivalent (e.g. GED),Agree Strongly,Agree Strongly,Agree Moderately,Disagree Moderately,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Moderately,Agree a Little,Disagree Strongly,Disagree Slightly,Disagree Very Much,Neutral,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Neutral,Disagree Very Much,Disagree Very Much,Neutral,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Strongly,Neutral,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Strongly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,Agree Strongly,Agree Slightly,8,10,7,5,6,7,3,9,7,9,8,8,2,7,9,8,3,8,3,6,8,9,9,7,2,3,6,10,10,10
26- 35,Woman,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,Disagree Moderately,Agree Moderately,Disagree a Little,Neither Agree nor Disagree,Agree a Little,Agree Moderately,Neither Agree nor Disagree,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Neutral,Disagree Very Much,Disagree Slightly,Disagree Slightly,Neutral,Neutral,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Neutral,Neutral,Disagree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Neutral,Disagree Slightly,5,10,8,5,10,10,4,10,9,5,8,7,5,9,9,6,10,8,6,8,8,7,9,8,6,9,9,6,9,8
26- 35,Woman,"Some college, no degree",Agree a Little,Disagree Strongly,Agree a Little,Agree a Little,Agree Moderately,Neither Agree nor Disagree,Agree Strongly,Disagree Moderately,Agree Moderately,Disagree Moderately,Agree Slightly,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree Slightly,Neutral,Neutral,Neutral,Agree Slightly,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,8,10,10,5,10,6,5,5,7,6,10,10,8,10,8,6,5,6,9,5,5,5,8,7,5,5,6,6,6,7
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree a Little,Agree a Little,Disagree Moderately,Agree Moderately,Agree a Little,Disagree Moderately,Agree Moderately,Disagree Strongly,Agree Moderately,Agree a Little,Agree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Neutral,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Agree Strongly,Disagree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Neutral,Neutral,Disagree Very Much,Neutral,Disagree Slightly,Disagree Slightly,Neutral,Agree Strongly,2,6,5,3,8,8,2,7,6,3,10,8,5,8,6,3,8,7,6,7,6,5,7,7,3,8,7,4,9,7
over 65,Man,"Some college, no degree",Disagree a Little,Disagree Moderately,Agree Moderately,Disagree Strongly,Agree Strongly,Agree Moderately,Agree Moderately,Disagree a Little,Agree Moderately,Disagree Moderately,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Neutral,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Neutral,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,3,9,9,6,8,8,5,9,9,5,8,8,5,8,9,6,9,9,5,7,9,5,9,9,5,9,9,5,9,9
